date, pm25, pm10, o3, no2, so2, co, aqi
2020/1/2, 161, 96, 8, 39, 8, 15, 
2020/1/3, 168, 88, 8, 40, 8, 14, 
2020/1/4, 164, 70, 7, 34, 8, 12, 
2020/1/5, 153, 61, 9, 33, 3, 9, 
2020/1/6, 150, 39, 23, 21, 3, 4, 
2020/1/7, 83, 57, 17, 28, 3, 9, 
2020/1/8, 126, 61, 14, 29, 3, 10, 
2020/1/9, 131, 96, 16, 33, 4, 18, 
2020/1/10, 184, 32, 21, 17, 2, 4, 
2020/1/11, 70, 51, 15, 29, 4, 7, 
2020/1/12, 113, 37, 24, 24, 3, , 
2020/1/13, 98, 41, 19, 27, 3, , 
2020/1/14, 94, 78, 10, 34, 7, 5, 
2020/1/15, 157, 121, 11, 35, 5, 3, 
2020/1/16, 208, , , , , , 
2019/10/1, 116, 65, 88, 9, 6, 6, 
2019/10/2, 114, 74, 106, 9, 5, 5, 
2019/10/3, 134, 29, 30, 3, 4, 2, 
2019/10/4, 69, 19, 31, 9, 3, 1, 
2019/10/5, 45, 47, 11, 17, 4, 3, 
2019/10/6, 80, 63, 27, 13, 4, 5, 
2019/10/7, 116, 36, 26, 10, 3, 1, 
2019/10/8, 49, 55, 33, 16, 5, 4, 
2019/10/9, 89, 48, 35, 10, 5, 3, 
2019/10/10, 97, 61, 21, 16, 2, 5, 
2019/10/11, 119, 52, 8, 20, 6, 7, 
2019/10/12, 83, 50, 6, 19, 4, 9, 
2019/10/13, 77, 45, 25, 13, 1, 4, 
2019/10/14, 72, 42, 24, 17, 3, 3, 
2019/10/15, 78, 55, 12, 22, 2, 4, 
2019/10/16, 101, 50, 8, 20, 1, 6, 
2019/10/17, 126, 65, 23, 21, 2, 7, 
2019/10/18, 138, 96, 26, 33, 2, 11, 
2019/10/19, 173, 111, 30, 28, 1, 8, 
2019/10/20, 167, 60, 23, 23, 2, 4, 
2019/10/21, 80, 76, 24, 30, 4, 6, 
2019/10/22, 111, 99, 57, 29, 4, 7, 
2019/10/23, 155, 90, 12, 25, 2, 7, 
2019/10/24, 149, 25, 26, 8, 1, 1, 
2019/10/25, 53, 60, 21, 21, 5, 4, 
2019/10/26, 104, 72, 25, 28, 4, 5, 
2019/10/27, 141, 82, 31, 15, 2, 2, 
2019/10/28, 101, 78, 27, 24, 5, 4, 
2019/10/29, 122, 95, 15, 34, 5, 6, 
2019/10/30, 144, 73, 29, 25, 3, 5, 
2019/10/31, 117, 67, 14, 28, 6, 8, 
2019/11/1, 105, 47, 10, 22, 1, 3, 
2019/11/2, 83, 51, 15, 16, 2, 4, 
2019/11/3, 113, 71, 25, 21, 2, 7, 
2019/11/4, 149, 69, 22, 22, 3, 7, 
2019/11/5, 136, 67, 23, 21, 2, 4, 
2019/11/6, 124, 62, 20, 21, 3, 5, 
2019/11/7, 108, 70, 15, 25, 2, 5, 
2019/11/8, 122, 102, 10, 35, 2, 9, 
2019/11/9, 173, 72, 30, 20, 1, 5, 
2019/11/10, 117, 57, 24, 21, 2, 3, 
2019/11/11, 86, 75, 20, 30, 6, 6, 
2019/11/12, 132, 50, 24, 14, 1, 1, 
2019/11/13, 83, 55, 19, 22, 4, 1, 
2019/11/14, 90, 67, 6, 27, 5, 5, 
2019/11/15, 125, 66, 8, 23, 8, 8, 
2019/11/16, 125, 109, 16, 20, 4, 4, 
2019/11/17, 145, 54, 23, 12, 2, , 
2019/11/18, 69, 72, 18, 25, 5, , 
2019/11/19, 112, 105, 7, 35, 8, , 
2019/11/20, 162, 109, 4, 40, 8, , 
2019/11/21, 168, 126, 4, 45, 9, , 
2019/11/22, 183, 123, 20, 40, 6, , 
2019/11/23, 188, 51, 25, 9, 3, , 
2019/11/24, 72, 44, 15, 18, 3, , 
2019/11/25, 76, 73, 11, 30, 8, 7, 
2019/11/26, 143, 38, 23, 17, 5, , 
2019/11/27, 69, 64, 10, 27, 6, 1, 
2019/11/28, 126, 73, 4, 31, 7, 6, 
2019/11/29, 153, 83, 7, 23, 3, , 
2019/11/30, 170, 37, 21, 16, 3, , 
2019/12/1, 71, 31, 35, 14, 3, , 
2019/12/2, 62, 60, 12, 29, 7, , 
2019/12/3, 107, 52, 5, 31, 6, , 
2019/12/4, 115, 58, 12, 23, 6, 3, 
2019/12/5, 112, 78, 8, 28, 6, 9, 
2019/12/6, 142, 68, 14, 30, 5, 8, 
2019/12/7, 136, 107, 4, 31, 3, 15, 
2019/12/8, 191, 140, 6, 33, 4, 17, 
2019/12/9, 212, 148, 5, 40, 5, 21, 
2019/12/10, 218, 80, 25, 24, 5, 11, 
2019/12/11, 127, 51, 14, 22, 6, 6, 
2019/12/12, 94, 53, 23, 22, 5, 6, 
2019/12/13, 101, 29, 15, 21, 3, 2, 
2019/12/14, 77, 72, 2, 37, 7, 11, 
2019/12/15, 158, 61, 3, 32, 3, 10, 
2019/12/16, 154, 36, 26, 14, 2, 4, 
2019/12/17, 91, 34, 15, 21, 2, 5, 
2019/12/18, 91, 37, 24, 17, 2, 4, 
2019/12/19, 84, 38, 15, 24, 6, 5, 
2019/12/20, 81, 60, 9, 32, 5, 9, 
2019/12/21, 126, 80, 6, 37, 6, 12, 
2019/12/22, 162, 72, 9, 29, 4, 12, 
2019/12/23, 145, 81, 9, 27, 4, 13, 
2019/12/24, 166, 83, 10, 28, 4, 10, 
2019/12/25, 170, 45, 19, 22, 3, 5, 
2019/12/26, 90, 81, 9, 30, 7, 10, 
2019/12/27, 142, 91, 14, 36, 11, 16, 
2019/12/28, 162, 98, 1, 40, 8, 20, 
2019/12/29, 171, , , , , , 
2019/7/1, 51, 45, 103, 11, 5, 4, 
2019/7/2, 65, 49, 91, 15, 5, 4, 
2019/7/3, 76, 57, 115, 19, 8, 4, 
2019/7/4, 78, 44, 62, 9, 6, 4, 
2019/7/5, 77, 35, 54, 9, 6, 10, 
2019/7/6, 74, 20, 41, 7, 2, 2, 
2019/7/7, 54, 33, 66, 7, 3, 3, 
2019/7/8, 65, 58, 45, 19, 4, 4, 
2019/7/9, 100, 54, 44, 12, 4, 6, 
2019/7/10, 121, 45, 65, 14, 4, 3, 
2019/7/11, 99, 55, 101, 18, 5, 4, 
2019/7/12, 86, 71, 84, 21, 6, 6, 
2019/7/13, 133, 37, 85, 11, 5, 3, 
2019/7/14, 63, 60, 95, 11, 6, 6, 
2019/7/15, 130, 51, 85, 11, 7, 7, 
2019/7/16, 100, 46, 46, 9, 4, 4, 
2019/7/17, 117, 62, 75, 12, 4, 6, 
2019/7/18, 160, 69, 64, 14, 5, 6, 
2019/7/19, 155, 57, 35, 14, 6, 5, 
2019/7/20, 137, 70, 79, 14, 5, 7, 
2019/7/21, 164, 73, 37, 13, 4, 9, 
2019/7/22, 159, 33, 56, 4, 3, 5, 
2019/7/23, 104, 51, 74, 11, 6, 5, 
2019/7/24, 127, 34, 79, 9, 9, 4, 
2019/7/25, 71, 63, 89, 12, 9, 6, 
2019/7/26, 115, 65, 105, 15, 11, 8, 
2019/7/27, 146, 63, 84, 9, 7, 6, 
2019/7/28, 146, 43, 44, 6, 2, 4, 
2019/7/29, 68, 57, 83, 6, 3, 5, 
2019/7/30, 88, 53, 110, 11, 5, 6, 
2019/7/31, 90, 44, 99, 7, 4, 4, 
2019/8/1, 72, 47, 67, 8, 4, 5, 
2019/8/2, 84, 59, 80, 14, 4, 5, 
2019/8/3, 95, 66, 49, 10, 4, 6, 
2019/8/4, 109, 46, 46, 6, 3, 5, 
2019/8/5, 83, 63, 59, 4, 4, 4, 
2019/8/6, 105, 52, 70, 1, 3, 4, 
2019/8/7, 82, 68, 72, 3, 3, 4, 
2019/8/8, 107, 69, 57, 5, 3, 5, 
2019/8/9, 127, 55, 52, 11, 2, 4, 
2019/8/10, 92, 52, 18, 14, 2, 4, 
2019/8/11, 84, 22, 39, 7, 11, 2, 
2019/8/12, 47, 20, 42, 6, 2, 3, 
2019/8/13, 38, 40, 59, 10, 4, 4, 
2019/8/14, 64, 45, 87, 12, 5, 3, 
2019/8/15, 58, 21, 40, 6, 3, 2, 
2019/8/16, 40, 21, 40, 9, 3, 2, 
2019/8/17, 39, 42, 72, 18, 4, 4, 
2019/8/18, 53, 66, 101, 14, 6, 6, 
2019/8/19, 105, 74, 41, 8, 3, 5, 
2019/8/20, 129, 48, 49, 9, 3, 4, 
2019/8/21, 93, 38, 45, 9, 4, 3, 
2019/8/22, 56, 36, 63, 11, 4, 3, 
2019/8/23, 45, 42, 64, 10, 4, 4, 
2019/8/24, 53, 50, 73, 11, 5, 5, 
2019/8/25, 73, 92, 55, 12, 3, 7, 
2019/8/26, 164, 45, 46, 10, 1, 5, 
2019/8/27, 93, 22, 32, 5, , 1, 
2019/8/28, 29, 17, 37, 8, , 2, 
2019/8/29, 31, 16, 50, 8, 16, 8, 
2019/8/30, 33, 37, 70, 20, 7, 3, 
2019/8/31, 54, 44, 78, 15, 7, 3, 
2019/9/1, 71, 57, 107, 18, 7, 5, 
2019/9/2, 88, 66, 112, 17, 7, 5, 
2019/9/3, 117, 66, 100, 15, 3, 5, 
2019/9/4, 119, 56, 94, 17, 3, 4, 
2019/9/5, 90, 68, 115, 17, 7, 5, 
2019/9/6, 125, 65, 107, 12, 1, 5, 
2019/9/7, 113, 65, 119, 14, 2, 5, 
2019/9/8, 104, 72, 122, 12, 3, 7, 
2019/9/9, 150, 22, 40, 5, , 3, 
2019/9/10, 62, 33, 19, 11, 7, 7, 
2019/9/11, 63, 33, 36, 6, 1, 3, 
2019/9/12, 60, 41, 36, 7, 1, 3, 
2019/9/13, 87, 32, 43, 11, , 2, 
2019/9/14, 59, 51, 55, 14, 1, 3, 
2019/9/15, 74, 42, 46, 9, 2, 3, 
2019/9/16, 58, 52, 71, 10, 2, 4, 
2019/9/17, 96, 34, 35, 8, 1, 1, 
2019/9/18, 50, 50, 39, 16, 3, 4, 
2019/9/19, 74, 62, 47, 17, 2, 5, 
2019/9/20, 96, 74, 100, 16, 5, 9, 
2019/9/21, 138, 81, 93, 13, 3, 9, 
2019/9/22, 145, 64, 75, 17, 2, 6, 
2019/9/23, 109, 35, 69, 12, 2, 4, 
2019/9/24, 58, 41, 83, 13, 2, 3, 
2019/9/25, 61, 59, 89, 16, 3, 4, 
2019/9/26, 97, 58, 74, 14, 4, 5, 
2019/9/27, 106, 64, 92, 18, 4, 5, 
2019/9/28, 114, 70, 98, 15, 5, 5, 
2019/9/29, 126, 84, 92, 18, 6, 6, 
2019/9/30, 145, 65, 74, 10, 5, 4, 
2019/4/1, 65, 61, 38, 19, 6, 5, 
2019/4/2, 89, 82, 62, 23, 8, 6, 
2019/4/3, 143, 116, 77, 22, 10, 7, 
2019/4/4, 157, 246, 44, 10, 4, 3, 
2019/4/5, 98, 113, 43, 13, 5, 4, 
2019/4/6, 80, 77, 55, 20, 6, 5, 
2019/4/7, 102, 78, 33, 15, 9, 7, 
2019/4/8, 81, 41, 35, 14, 3, 4, 
2019/4/9, 67, 46, 42, 11, 4, 5, 
2019/4/10, 81, 58, 46, 12, 6, 5, 
2019/4/11, 121, 75, 50, 19, 8, 6, 
2019/4/12, 134, 94, 41, 16, 8, 6, 
2019/4/13, 153, 51, 43, 6, 7, 3, 
2019/4/14, 48, 74, 47, 15, 10, 5, 
2019/4/15, 110, 80, 68, 10, 4, 5, 
2019/4/16, 140, 93, 83, 26, 15, 11, 
2019/4/17, 155, 172, 46, 16, 8, 6, 
2019/4/18, 106, 51, 36, 6, , 3, 
2019/4/19, 63, 55, 19, 18, , 5, 
2019/4/20, 88, 99, 53, 17, 3, 8, 
2019/4/21, 129, 99, 90, 14, 4, 7, 
2019/4/22, 167, 79, 29, 5, 5, 1, 
2019/4/23, 156, 50, 20, 11, 3, 2, 
2019/4/24, 116, 25, 41, 4, 1, , 
2019/4/25, 47, 41, 45, 5, 1, , 
2019/4/26, 88, 43, 34, 9, 1, 1, 
2019/4/27, 105, 51, 42, 7, 1, 2, 
2019/4/28, 117, 99, 65, 16, 5, 8, 
2019/4/29, 176, 98, 43, 4, 2, 3, 
2019/4/30, 95, 51, 49, 7, 2, 1, 
2019/5/1, 58, 66, 66, 11, 3, 2, 
2019/5/2, 79, 93, 88, 20, 11, 5, 
2019/5/3, 142, 87, 100, 13, 9, 4, 
2019/5/4, 120, 101, 43, 8, 2, 2, 
2019/5/5, 86, 63, 47, 8, 3, 2, 12
2019/5/6, 59, 62, 51, 13, 3, 2, 7
2019/5/7, 69, 92, 57, 17, 9, 4, 
2019/5/8, 126, 90, 67, 23, 5, 4, 59
2019/5/9, 122, 85, 93, 17, 11, 5, 36
2019/5/10, 125, 74, 97, 14, 6, 5, 15
2019/5/11, 118, 162, 32, 17, 3, 5, 63
2019/5/12, 141, 143, 42, 13, 4, 2, 
2019/5/13, 98, 86, 73, 17, 10, 3, 
2019/5/14, 105, 139, 92, 26, 15, 7, 
2019/5/15, 156, 94, 67, 17, 14, 8, 
2019/5/16, 129, 104, 34, 7, 7, 6, 
2019/5/17, 167, 69, 14, 8, 4, 4, 
2019/5/18, 130, 67, 36, 7, 6, 2, 
2019/5/19, 88, 48, 39, 5, 1, 1, 
2019/5/20, 37, 55, 51, 14, 3, 2, 
2019/5/21, 55, 62, 68, 16, 3, 3, 
2019/5/22, 62, 70, 115, 17, 6, 4, 
2019/5/23, 79, 87, 76, 14, 9, 4, 
2019/5/24, 97, 99, 109, 14, 11, 6, 
2019/5/25, 123, 74, 34, 13, 5, 5, 
2019/5/26, 112, 31, 40, 5, 3, 1, 
2019/5/27, 53, 46, 54, 13, 1, 2, 
2019/5/28, 49, 72, 105, 18, 3, 3, 
2019/5/29, 81, 64, 64, 8, 7, 3, 
2019/5/30, 77, 41, 45, 11, 2, 1, 
2019/5/31, 52, 73, 73, 15, 5, 3, 
2019/6/1, 98, 87, 100, 19, 5, 5, 
2019/6/2, 127, 64, 75, 8, 2, 3, 
2019/6/3, 88, 86, 67, 11, 3, 6, 
2019/6/4, 135, 91, 49, 18, 5, 8, 
2019/6/5, 142, 68, 42, 18, 3, 6, 
2019/6/6, 124, 73, 74, 15, 4, 6, 
2019/6/7, 152, 72, 69, 13, 4, 4, 
2019/6/8, 113, 37, 43, 14, 7, 3, 
2019/6/9, 51, 65, 72, 19, 9, 4, 
2019/6/10, 82, 79, 110, 12, 8, 5, 
2019/6/11, 118, 76, 98, 14, 9, 7, 
2019/6/12, 111, 67, 74, 17, 6, 5, 
2019/6/13, 97, 72, 82, 19, 6, 5, 
2019/6/14, 108, 69, 89, 12, 8, 5, 
2019/6/15, 89, 54, 29, 11, 5, 3, 
2019/6/16, 79, 62, 80, 12, 6, 4, 
2019/6/17, 85, 85, 125, 17, 5, 6, 
2019/6/18, 150, 92, 74, 12, 7, 9, 
2019/6/19, 163, 92, 108, 18, 6, 7, 
2019/6/20, 163, 92, 72, 15, 6, 7, 
2019/6/21, 148, 53, 73, 16, 6, 2, 
2019/6/22, 69, 81, 118, 19, 10, 5, 
2019/6/23, 108, 78, 110, 16, 8, 5, 
2019/6/24, 107, 85, 109, 14, 11, 5, 
2019/6/25, 112, 79, 115, 11, 9, 5, 
2019/6/26, 116, 78, 112, 13, 9, 5, 
2019/6/27, 121, 68, 85, 13, 7, 5, 
2019/6/28, 120, 71, 59, 10, 9, 4, 
2019/6/29, 119, 38, 42, 5, 6, 1, 
2019/6/30, 39, 36, 65, 13, 6, 1, 
2019/1/1, 164, 123, 8, 39, 14, 16, 
2019/1/2, 178, 150, 2, 50, 18, 21, 
2019/1/3, 213, 89, 21, 32, 7, 10, 
2019/1/4, 122, 86, 10, 36, 7, 11, 
2019/1/5, 139, 114, 5, 42, 21, 15, 
2019/1/6, 171, 143, 5, 48, 13, 22, 
2019/1/7, 190, 75, 27, 27, 5, 9, 
2019/1/8, 106, 109, 12, 35, 14, 13, 
2019/1/9, 163, 136, 6, 42, 18, 19, 
2019/1/10, 187, 267, 5, 57, 33, 31, 
2019/1/11, 303, 460, 3, 61, 15, 39, 
2019/1/12, 421, 257, 11, 46, 6, 34, 
2019/1/13, 311, 331, 21, 50, 14, 31, 
2019/1/14, 321, 69, 29, 11, 2, 2, 
2019/1/15, 69, 98, 16, 31, 12, 11, 
2019/1/16, 156, 115, 10, 42, 16, 19, 
2019/1/17, 172, 136, 3, 52, 17, 21, 
2019/1/18, 187, 49, 21, 22, 4, 5, 
2019/1/19, 79, 44, 29, 18, 3, 3, 
2019/1/20, 78, 83, 21, 32, 17, 11, 
2019/1/21, 141, 89, 19, 39, 8, 7, 
2019/1/22, 146, 77, 15, 36, 7, 3, 
2019/1/23, 136, 77, 14, 31, 9, 7, 
2019/1/24, 148, 63, 25, 25, 4, 7, 
2019/1/25, 105, 65, 28, 29, 6, 9, 
2019/1/26, 118, 113, 8, 37, 18, 15, 
2019/1/27, 174, 104, 34, 30, 8, 10, 
2019/1/28, 154, 129, 16, 38, 19, 15, 
2019/1/29, 189, 102, 27, 23, 7, 8, 
2019/1/30, 118, 46, 23, 13, 4, 4, 
2019/1/31, 79, 100, 24, 28, 9, 10, 
2019/2/1, 159, 121, 12, 25, 7, 14, 
2019/2/2, 182, 131, 29, 19, 3, 12, 
2019/2/3, 167, 123, 32, 13, 7, 6, 
2019/2/4, 148, 237, 19, 14, 15, 9, 
2019/2/5, 242, 82, 23, 7, 5, 6, 
2019/2/6, 138, 63, 31, 4, 2, 2, 
2019/2/7, 78, 74, 28, 13, 7, 7, 
2019/2/8, 139, 34, 28, 7, 2, 2, 
2019/2/9, 64, 68, 21, 19, 7, 7, 
2019/2/10, 139, 86, 21, 24, 11, 8, 
2019/2/11, 155, 66, 23, 15, 4, , 
2019/2/12, 106, 55, 30, 17, 2, , 
2019/2/13, 109, 64, 25, 17, 4, , 
2019/2/14, 137, 53, 35, 13, 2, , 
2019/2/15, 112, 28, 36, 16, 2, , 
2019/2/16, 63, 43, 28, 21, 3, , 
2019/2/17, 80, 107, 22, 34, 14, 9, 
2019/2/18, 180, 175, 25, 18, 4, 5, 
2019/2/19, 252, 189, 35, 24, 5, 9, 
2019/2/20, 272, 205, 43, 34, 5, 20, 
2019/2/21, 279, 174, 29, 38, 6, 17, 
2019/2/22, 242, 148, 46, 41, 8, 4, 
2019/2/23, 218, 124, 33, 34, 6, , 
2019/2/24, 186, 75, 35, 29, 9, , 
2019/2/25, 141, 69, 20, 31, 6, , 
2019/2/26, 119, 96, 31, 35, 7, , 
2019/2/27, 158, 131, 49, 32, 8, , 
2019/2/28, 194, 156, 41, 40, 8, , 
2019/3/1, 217, 195, 62, 39, 10, , 
2019/3/2, 247, 142, 41, 28, 9, , 
2019/3/3, 199, 126, 42, 34, 7, , 
2019/3/4, 184, 115, 40, 37, 5, , 
2019/3/5, 143, 47, 38, 10, 1, , 
2019/3/6, 56, 64, 38, 29, 4, , 
2019/3/7, 90, 104, 37, 36, 15, , 
2019/3/8, 158, 94, 36, 31, 12, , 
2019/3/9, 157, 106, 43, 37, 5, , 
2019/3/10, 170, 67, 37, 41, 4, , 
2019/3/11, 110, 33, 36, 2, 1, , 
2019/3/12, 48, 40, 35, 13, 3, , 
2019/3/13, 55, 32, 36, 10, 2, , 
2019/3/14, 52, 51, 37, 8, 2, , 
2019/3/15, 49, 65, 32, 22, 4, , 
2019/3/16, 94, 69, 48, 25, 5, , 
2019/3/17, 92, 121, 87, 60, 16, , 
2019/3/18, 171, 120, 65, 27, 12, , 
2019/3/19, 164, 75, 45, 12, 8, , 
2019/3/20, 136, 33, 37, 5, 1, , 
2019/3/21, 51, 34, 38, 11, 1, , 
2019/3/22, 46, 39, 38, 6, 2, , 
2019/3/23, 53, 73, 36, 18, 9, , 
2019/3/24, 101, 63, 41, 19, 5, , 
2019/3/25, 98, 87, 39, 24, 7, , 
2019/3/26, 115, 109, 40, 21, 6, , 
2019/3/27, 145, 55, 33, 14, 4, , 
2019/3/28, 71, 67, 37, 14, 7, 1, 
2019/3/29, 74, 33, 36, 5, 1, 2, 
2019/3/30, 54, 44, 39, 15, 5, 3, 
2019/3/31, 71, 48, 41, 15, 3, 3, 
2018/10/1, 54, 43, 44, 12, 4, 2, 51
2018/10/2, 61, 58, 54, 18, 4, 3, 64
2018/10/3, 89, 91, 67, 28, 7, 6, 96
2018/10/4, 128, 133, 81, 29, 7, 9, 153
2018/10/5, 173, 63, 33, 11, 4, 2, 74
2018/10/6, 73, 67, 36, 20, 6, 3, 70
2018/10/7, 80, 74, 31, 25, 6, 4, 76
2018/10/8, 98, 40, 29, 4, 4, , 43
2018/10/9, 49, 40, 28, 12, 5, 2, 42
2018/10/10, 56, 51, 31, 18, 6, 2, 58
2018/10/11, 72, 102, 41, 29, 11, 6, 104
2018/10/12, 145, 126, 39, 39, 10, 8, 133
2018/10/13, 165, 195, 21, 52, 15, 10, 211
2018/10/14, 204, 237, 18, 41, 15, 12, 255
2018/10/15, 234, 99, 28, 20, 2, 8, 151
2018/10/16, 167, 82, 30, 23, 3, 8, 105
2018/10/17, 141, 81, 37, 27, 6, 5, 83
2018/10/18, 123, 96, 52, 32, 12, 4, 129
2018/10/19, 147, 111, 30, 46, 14, , 
2018/10/20, 163, 145, 15, 49, 17, , 
2018/10/21, 181, 159, 33, 32, 13, , 
2018/10/22, 185, 73, 28, 20, 4, , 
2018/10/23, 88, 104, 23, 31, 6, , 
2018/10/24, 137, 162, 4, 45, 6, , 
2018/10/25, 180, 49, 28, 9, 2, , 
2018/10/26, 57, 62, 24, 21, 4, , 
2018/10/27, 84, 41, 32, 10, 2, , 46
2018/10/28, 54, 39, 35, 15, 9, 1, 43
2018/10/29, 60, 70, 28, 25, 4, , 48
2018/10/30, 102, 88, 22, 28, 6, , 
2018/10/31, 122, 117, 37, 33, 7, , 
2018/11/1, 164, 166, 26, 49, 10, , 
2018/11/2, 200, 198, 46, 40, 12, , 
2018/11/3, 223, 124, 9, 30, 3, , 
2018/11/4, 168, 44, 27, 14, 6, , 
2018/11/5, 85, 57, 8, 14, 3, , 
2018/11/6, 92, 75, 5, 19, 5, , 
2018/11/7, 107, 110, 10, 28, 10, , 
2018/11/8, 164, 82, 26, 16, 4, , 
2018/11/9, 130, 56, 16, 17, 3, , 
2018/11/10, 74, 85, 28, 22, 5, , 
2018/11/11, 128, 150, 18, 33, 9, , 
2018/11/12, 191, 226, 16, 35, 7, , 
2018/11/13, 233, 157, 19, 24, 3, 9, 208
2018/11/14, 192, 104, 20, 18, 3, 7, 140
2018/11/15, 142, 49, 20, 13, 3, 2, 60
2018/11/16, 80, 93, 12, 26, 10, 8, 126
2018/11/17, 159, 89, 21, 22, 6, 8, 107
2018/11/18, 137, 114, 6, 38, 8, 9, 137
2018/11/19, 162, 102, 8, 36, 6, 10, 108
2018/11/20, 141, 72, 17, 22, 5, 6, 80
2018/11/21, 112, 84, 16, 28, 6, 8, 106
2018/11/22, 141, 111, 4, 36, 11, 14, 137
2018/11/23, 165, 142, 13, 40, 8, 16, 184
2018/11/24, 199, 152, 12, 47, 11, 16, 194
2018/11/25, 206, 339, 3, 68, 11, 25, 345
2018/11/26, 338, 298, 18, 31, 4, 15, 279
2018/11/27, 232, 151, 29, 30, 12, 14, 153
2018/11/28, 151, 130, 8, 32, 12, 8, 133
2018/11/29, 151, 168, 6, 43, 10, 10, 171
2018/11/30, 180, 222, 10, 47, 9, 10, 228
2018/12/1, 208, 261, 4, 50, 6, 13, 278
2018/12/2, 241, 211, 24, 19, 3, 8, 217
2018/12/3, 144, 88, 18, 20, 3, 4, 91
2018/12/4, 87, 98, 5, 25, 7, 9, 103
2018/12/5, 139, 56, 30, 11, 2, 2, 59
2018/12/6, 70, 37, 26, 9, 1, 1, 39
2018/12/7, 55, 57, 23, 23, 4, 5, 61
2018/12/8, 95, 90, 9, 35, 16, 12, 123
2018/12/9, 159, 92, 6, 40, 11, 18, 129
2018/12/10, 160, 65, 28, 24, 5, 5, 70
2018/12/11, 96, 98, 11, 38, 13, 13, 127
2018/12/12, 157, 88, 24, 32, 9, 12, 111
2018/12/13, 132, 105, 12, 42, 17, 15, 143
2018/12/14, 169, 133, 3, 51, 21, 17, 170
2018/12/15, 193, 235, 6, 72, 33, 31, 288
2018/12/16, 287, 102, 19, 44, 12, 14, 127
2018/12/17, 158, 98, 13, 47, 11, 13, 119
2018/12/18, 149, 95, 10, 49, 9, 13, 112
2018/12/19, 144, 141, 8, 49, 10, 13, 141
2018/12/20, 156, 122, 5, 50, 12, 17, 151
2018/12/21, 171, 145, 5, 56, 15, 22, 174
2018/12/22, 187, 66, 27, 10, 3, 2, 68
2018/12/23, 72, 96, 20, 28, 17, 13, 117
2018/12/24, 153, 82, 21, 26, 6, 8, 91
2018/12/25, 119, 45, 19, 18, 4, 4, 50
2018/12/26, 76, 61, 25, 10, 1, 1, 64
2018/12/27, 65, 50, 21, 18, 8, 3, 59
2018/12/28, 74, 75, 18, 30, 16, 9, 100
2018/12/29, 138, 52, 17, 29, 4, 5, 67
2018/12/30, 99, , , , , , 
2018/7/1, 104, 77, 74, 7, 3, 4, 80
2018/7/2, 100, 83, 83, 8, 3, 6, 86
2018/7/3, 113, 99, 110, 12, 5, 7, 104
2018/7/4, 132, 108, 111, 12, 5, 9, 112
2018/7/5, 134, 85, 126, 11, 4, 8, 102
2018/7/6, 115, 81, 28, 10, 3, 6, 84
2018/7/7, 126, 70, 60, 7, 2, 6, 79
2018/7/8, 117, 83, 40, 9, 2, 5, 118
2018/7/9, 129, 69, 43, 7, 2, 4, 73
2018/7/10, 96, 49, 32, 9, 2, 3, 49
2018/7/11, 79, 38, 40, 7, 2, 4, 42
2018/7/12, 79, 70, 31, 18, 2, 5, 89
2018/7/13, 131, 60, 61, 8, 2, 4, 91
2018/7/14, 136, 67, 51, 12, 2, 5, 86
2018/7/15, 138, 42, 31, 7, 2, 5, 74
2018/7/16, 102, 47, 45, 9, 6, 8, 89
2018/7/17, 96, 71, 47, 7, 2, 6, 126
2018/7/18, 163, 69, 48, 8, 2, 6, 106
2018/7/19, 152, 85, 58, 5, 3, 6, 102
2018/7/20, 155, 76, 61, 7, 3, 5, 117
2018/7/21, 151, 63, 40, 10, 2, 5, 89
2018/7/22, 109, 72, 65, 9, 4, 7, 86
2018/7/23, 131, 37, 53, 4, 3, 3, 47
2018/7/24, 68, 35, 47, 7, 2, 3, 43
2018/7/25, 64, 35, 75, 11, 2, 4, 49
2018/7/26, 59, 75, 65, 5, 3, 5, 116
2018/7/27, 144, 70, 73, 6, 3, 5, 96
2018/7/28, 132, 93, 73, 11, 3, 6, 129
2018/7/29, 159, 85, 72, 11, 2, 6, 127
2018/7/30, 146, 87, 78, 14, 4, 5, 114
2018/7/31, 140, 76, 91, 6, 3, 5, 90
2018/8/1, 141, 112, 70, 9, 3, 10, 165
2018/8/2, 191, 79, 73, 11, 4, 6, 117
2018/8/3, 145, 86, 101, 10, 5, 7, 108
2018/8/4, 149, 61, 45, 10, 4, 5, 77
2018/8/5, 112, 63, 25, 13, 4, 8, 72
2018/8/6, 97, 88, 52, 15, 3, 9, 121
2018/8/7, 163, 42, 35, 11, 3, 5, 74
2018/8/8, 108, 43, 46, 8, 3, 6, 64
